评论名称,评分星级,评论内容,评论时间
心若安然,s-star5,文人墨客，诗经风雅，静淡宁谧，喧嚣处的一隅文化修行之处,2019-07-21 10:20:23
水土徐徐,s-star3,这个是文人的爱好吧，一般的游客也就无所谓了。,2019-05-16 15:14:19
光阴过客,s-star3,风光不能说是特别好，但从西泠印社走上孤山这段路，一路古迹不断，还是值得一看的。,2019-05-10 09:33:56
小猪猪侠,s-star5,在浙江博物馆后面的一座小山上面。,2019-04-11 16:12:46
张麒麟丶,s-star5,社址坐落于浙江省杭州市西湖景区孤山南麓，东至白堤，西近西泠桥，北邻里西湖，南接外西湖。占地面积7090平方米，建筑面积1750平方米。印社建筑虽然没有传统的纵横格局，但亭台楼阁皆因山势高低而错落有致，一层叠一层，井然有序，堪称江南园林之佳作。 主要建筑有柏堂、竹阁、仰贤亭、还朴精庐等，均挂匾披联，室外摩崖凿石林立，名人墨迹触目可见。内建中国印学博物馆，收藏历代字画、印章多达六千余件。,2019-04-02 16:19:59
Estrella_dala,s-star5,从白堤上一直往南走就到了小岛上的西泠印社，我不了解篆刻，仅仅是对这四个字充满了好奇和喜欢，在里面转悠了一圈才了解它的历史，下次要去爬爬后山，喜欢西泠印社的郁郁葱葱的树木。,2019-03-22 21:43:29
乌然娅措,s-star5,超级美！那里的印泥特别好，古印制法， 橘红色盖画，大红盖字。我妈妈超级喜欢而且有很多种字体。文化人必去， 出去就是西湖,2019-03-22 03:07:23
纠结的喵咪咪,s-star5,盗墓迷们去西湖必须打开的地方了吧，真实因为情怀去的。就在博物馆边上，里面其实没啥逛的，就为了这几张照片~,2019-03-15 12:06:37
bobo,s-star3,是金石爱好者，治印人士心目中的圣地。海内外研究金石篆刻历史最悠久、成就最高、影响最广国际性的研究印学、书画的民间艺术团体，有“天下第一名社”之誉。但是对于不了解这方面的游客，这里只是一处小巧幽静的院落。,2019-03-14 20:07:57
马蜂窝用户,s-star2,才看到是盗墓笔记的一处原型地，当时因为骑单车，匆匆游览的地方,2019-03-04 00:53:42
城上旗下,s-star4,清末杭州文人倡导发起的篆刻印社，吴昌硕为首任社长。,2019-03-01 11:07:42
刘萨特,s-star4,总是给人酷酷的感觉，现在念这个名字依然心动不已。,2019-02-27 00:50:01
熹微,s-star4,西湖边著名景点，有其文化底蕴，值得一去。,2019-02-18 14:36:55
czj,s-star4,坐落于浙江省杭州市西湖景区孤山南麓，东至白堤，西近西泠桥，北邻里西湖，南接外西湖。占地面积7090平方米，建筑面积1750平方米。印社建筑虽然没有传统的纵横格局，但亭台楼阁皆因山势高低而错落有致，一层叠一层，井然有序，堪称江南园林之佳作。 主要建筑有柏堂、竹阁、仰贤亭、还朴精庐等，均挂匾披联，室外摩崖凿石林立，名人墨迹触目可见。内建中国印学博物馆，收藏历代字画、印章多达六千余件。,2019-02-17 10:57:53
bopai,s-star4,本打算去找吴邪呢，可是没找到他,2019-02-16 13:05:58
回旋之水,s-star5,位于孤山上，篆刻书法等集于一体。这些艺术性太高欣赏不来，更喜欢这里也是一处小制高点，俯瞰西湖。,2019-02-08 02:54:44
气球宝宝升级,s-star3,这里去的人很少，来的也多半是杭州本地人,2019-01-17 11:49:43
ykf1973,s-star4,在西湖北岸，很别致的地方。一灯大师出家前的印章都在次保存,2019-01-14 16:18:09
取景框看世界,s-star3,西湖中的一个小庭院，有一些小景还算别致，可以单独拍拍照,2018-12-20 14:22:10
鸭梨🍐,s-star3,刚来这里我念了好几遍的西“冷（lěng）”印社，知道是盗墓笔记中无邪的根据地，本以为是自己错了，原来书里写的就是西冷印社，而不是西“泠”印社。,2018-11-19 13:16:31
鲁鎏,s-star5,西泠印社是一个我一直以来就比较仰慕的地方，只要是写毛笔字的人大多说都知道这个地方。始建于清代其中不乏很多大的知名篆刻大师，在这里可以看到很多的真迹，真品，还有一些篆刻书画创作和展览交流活动实在是不可多得的。作为一个爱好写字和篆刻的人这里是强烈推荐的地方，西泠印社历任社长为吴昌硕、马衡、张宗祥、沙孟海、赵朴初、启功、现任社长为国学大师饶宗颐，都是书法篆刻宗师，总之一次西泠印社之行受益终身。,2018-11-16 17:09:40
有李行遍天下,s-star3,社址坐落于浙江省杭州市西湖景区孤山南麓，东至白堤，西近西泠桥，北邻里西湖，南接外西湖。占地面积7090平方米，建筑面积1750平方米。印社建筑虽然没有传统的纵横格局，但亭台楼阁皆因山势高低而错落有致，一层叠一层，井然有序，堪称江南园林之佳作。 主要建筑有柏堂、竹阁、仰贤亭、还朴精庐等，均挂匾披联，室外摩崖凿石林立，名人墨迹触目可见。内建中国印学博物馆，收藏历代字画、印章多达六千余件。,2018-11-16 12:28:51
豬籽斐,s-star4,西湖旁，和楼外楼很近，古色古香的地方,2018-10-28 20:53:39
毛毛,s-star5,西泠印社，创建于清光绪三十年（1904年），由浙派篆刻家丁辅之、王福庵、吴隐、叶为铭等召集同人发起创建，吴昌硕为第一任社长。以“保存金石，研究印学，兼及书画”为宗旨。是海内外研究金石篆刻历史最悠久、成就最高、影响最广国际性的研究印学、书画的民间艺术团体，有“天下第一名社”之誉。,2018-10-22 13:13:13
自在清风,s-star4,亭台楼阁皆因山势高低而错落有致，一层叠一层，井然有序，堪称江南园林之佳作,2018-10-19 20:06:43
lilypoon,s-star5,有很多著名且优秀的篆刻作品。刚好在做维修工程，所以有部分区域也没有能够参观得到。,2018-10-18 21:58:26
三宝Alex,s-star5,里面有不少的真迹，非常好的地方，但游客不多，看来喜欢和懂的人还是不多。,2018-10-17 16:00:30
树苗啊树苗,s-star5,人生中第一枚章就是在西泠印社这边搞定的，零五年，四位数，现在看来料子也就算是较为一般的了。,2018-10-17 10:16:04
陈小琼,s-star4,西湖十景之一，虽比不上断桥有名，但既然来了西湖总是要一个不落的看一看,2018-10-16 23:10:22
刀笔饭,s-star4,亭台错落有致，堪称湖山佳处。藏品丰富，韵味十足，但是，对于非金石爱好者来说，就是一个普通的陈旧古建群。,2018-10-16 11:54:32
哆啦A玲,s-star4,西泠印社，创建于清光绪三十年（1904年），由浙派篆刻家丁辅之、王福庵、吴隐、叶为铭等召集同人发起创建，吴昌硕为第一任社长。以“保存金石，研究印学，兼及书画”为宗旨。是海内外研究金石篆刻历史最悠久、成就最高、影响最广国际性的研究印学、书画的民间艺术团体，有“天下第一名社”之誉。社址坐落于浙江省杭州市西湖景区孤山南麓，东至白堤，西近西泠桥，北邻里西湖，南接外西湖。印社建筑虽然没有传统的纵横格局，但亭台楼阁皆因山势高低而错落有致，一层叠一层，井然有序，堪称江南园林之佳作。 主要建筑有柏堂、竹阁、仰贤亭、还朴精庐等，均挂匾披联，室外摩崖凿石林立，名人墨迹触目可见。内建中国印学博物馆，收藏历代字画、印章多达六千余件。,2018-10-15 13:02:17
kevinwei88,s-star3,孤山路上楼外楼旁的弘扬印章文化的小园林，可以了解印章历史也能品味江南园林,2018-09-14 04:39:10
abelabel,s-star5,西泠印社，创建于清光绪三十年，吴昌硕为第一任社长。以“保存金石，研究印学，兼及书画”为宗旨。是海内外研究金石篆刻历史最悠久、成就最高、影响最广国际性的研究印学、书画的民间艺术团体，有“天下第一名社”之誉。,2018-09-13 21:40:05
小云云白白胖胖,s-star5,一家研究印学、书画的民间团体，小说《盗墓笔记》用了这个现实中存在的名称，让西泠印社更加出名。西泠印社内的商店也售卖《盗墓笔记》相关的文创用品。,2018-09-09 08:38:59
单纯的小美好,s-star5,从断桥走过去，也可以乘船或者乘游览车，到楼外楼那里，猝不及防的就看到了 西泠印社。是一个很别致的小山，错落别致， 走下去就是孤山公园了。,2018-09-02 21:36:22
嘉嘉嘉嘉嘉_,s-star5,它就静悄悄的竖立在楼外楼的旁边，白墙黑瓦的小院里，是曾经的文人雅士纂刻金石劈情操的地方。比起西湖边熙熙攘攘的人群，这里可谓是别有一番风味。喜欢杨万里的那句“风格不与四时同”，有些美让我不愿将它纳入四季。,2018-08-29 20:00:45
马蜂窝用户,s-star5,西泠印社，这4个字，代表着至高无上的荣誉，代表着目前全世界中国篆刻艺术研究的最高水平，也是全国仅有的两个国家级社团之一,2018-08-23 19:35:55
莞尔^^,s-star5,西泠印社强推，爬到上面以后发现很多历史遗迹，喜欢这种人文气息。而且是盗墓笔记取景地，很多粉丝来买打卡纪念品。,2018-08-21 00:07:03
罗马小飞机,s-star3,西泠印社在国际印学界享有极为崇高的学术地位，有 “天下第一名社”盛誉。对于中国很多爱好文学与艺术的高雅之士来说，西泠印社是一个神圣之地。对于我这带娃人士来说，也就是走马观花，带她了解一下，以后有机会再来细细感受除了西泠印社,2018-08-11 23:54:37
释然小冷,s-star2,攻略上面的新疆网友说很推荐西湖的西泠印社，我就挺期待地去了。不过呢，走进去发现，嗯，广东人表示没啥特别的啊哈哈~可能我们那边都有这些庭院古园什么的，早就看腻了~这里比较适合北方人~~~,2018-08-11 20:16:48
徐祥的视角,s-star4,慕名而来，但已错过参观时间，留待下次再专门进去参观。,2018-08-10 23:33:03
我将与你同行,s-star5,此次缘因游白堤而起，时间有限，有些景点没有到达，有些景点不拍为敬。淡雅而不事张扬的月洞门，门楣上“西泠印社”四字为沙孟海所题。,2018-08-10 17:06:46
布丁,s-star2,也许是对里面的东西不感兴趣，在里面吃了关东煮，休息一会就撤了,2018-08-03 09:06:19
好奇傻死猫赵赵,s-star5,西泠印社居山而建，虽然没有传统的纵横格局，但亭台楼阁皆因山势高低而错落有致，一层叠一层，井然有序。西泠印社就在孤山南西湖边，来的话不妨探寻下这座百年名社。 ​​​​,2018-07-31 20:06:05
贝瑟芬妮,s-star5,相对于名气，游客却是奇少，仿佛是一座缩小的江南园林。进门有柏堂、朱阁、印廊，踏着石阶上山，有池塘和遍布书刻的石洞，在西泠印社的顶峰眺望湖中的三塔，也是别有一番心情。,2018-07-30 16:43:59
啦啦🙈,s-star5,西泠印社依山而建，到处都是金石篆刻看不懂的是门道，只是瞧个热闹下山继续前行。,2018-07-28 18:02:56
进击的大阿萌,s-star5,金石篆刻第一民间艺术天团了，吴昌硕、黄宾虹以及李叔同都是社员。依山而建，亭台轩榭层层叠叠，凿石清池影影绰绰。就算你不是搞国画书法的，那么看过盗笔想必也多少听过这里。西泠印社虽然免费，但是游人并不是很多，坐在半山的亭子里休息片刻，顺便请人刻一个印章买份印泥，或者寄一张西泠独有的明信片，极妙了。,2018-07-26 21:01:27
土拨🐭,s-star5,一步一景，一共有三层，每个层次看到的风景也不同,2018-07-25 10:50:54
萤晖,s-star5,西泠印社正门进穿过后下山，就是一大片荷塘，美极了。,2018-07-25 00:25:14
风行,s-star5,1904年（清光绪三十年），浙派金石书画家丁仁、王褆、叶铭、吴隐四人创建西泠印社，以“保存金石，研究印学”为宗旨，探讨六书，研求篆刻，西泠印社在国际印学界享有极为崇高的学术地位，有 “天下第一名社”盛誉。,2018-07-22 22:51:14
津度度度,s-star5,西泠印社五点关门，但4:30不再放人，但跟保安直接表达来意：去半山小店买章，他就会放你进去。选料选字选穗后已近五点，还需等成品出来半小时左右，整个西泠印社空无一人。试想西湖畔豪华园林一人独享，是何等滋味。,2018-07-16 22:48:50
试遣愚衷,s-star3,西湖边边上，名声比较大，但普通人对篆刻不是很有研究，收藏还可以，实用性不高。,2018-07-16 21:28:39
小外公探PP猴,s-star4,其实是个非物质文化遗产景点，里面的印章也非常昂贵，没敢下手买。,2018-07-15 00:43:10
常霞客,s-star5,在美丽的西湖有三大情人桥——断桥、长桥和西泠桥。之所以叫西泠桥，据说是因为古时候有水从桥下流过，会发出“泠泠”的声音。在西冷桥的旁边，埋葬着南朝名妓苏小小和民国女侠秋瑾。还有就是1904年，近代著名的金石书画艺术团队创立了西冷印社，他们在这里留下了不少驰名中外的优秀作品。,2018-07-12 19:49:24
尹君伊,s-star5,可惜我们到的时候正好关门只出不进，不能一窥究竟，不过我可能看了也看不懂。,2018-07-03 09:46:29
碧兰溪,s-star5,西泠印社主要以碑石篆刻 书法为主，文化气息浓郁孤山不孤，旁边就是楼外楼 浙江博物馆。,2018-07-01 14:50:07
虎哥爱旅行,s-star5,位于西湖白堤中段的西泠印社，个人认为是现在的西湖景区人文最厚重的地方，非常值得一游。,2018-06-29 14:54:47
惗尐霏_xj,s-star5,还没去过，但是很期待！今年8月不会人满为患吧！,2018-06-27 14:46:32
下一程春暖花开,s-star5,光绪年间始创，过去的房价一定不贵，民间团体都可以占据这样的好地段,2018-06-25 12:44:17
叶冬菇,s-star5,一群群学生因为盗墓笔记来到这里。这里也有很多盗墓笔记的周边卖。,2018-06-23 16:40:36
德川老爹,s-star5,西泠印社是一个专门做印章的地方，有兴趣的蜂友可以进去看看。,2018-06-21 16:37:06
奇葩葩snail,s-star5,"西湖周边最喜欢的就是西泠印社，一直到到了目的地才知道是西泠ling印社,去之前一直念西冷leng饮社；是很好的地方，知道的人不多，里面很大，人很少个人觉得西泠印社是很好的地方，知道的人不多，里面很大，人很少",2018-06-08 12:25:15
张龙,s-star5,这个地方必须去，特别是中国印象博物馆，喜欢印的人必须去。,2018-06-01 09:46:39
玩物尚志的东方郡,s-star5,每次都喜欢去那里喝一杯茶，沉浸在诗书印的天地，一览西湖全景，惆怅随风而去，悠然之情漫升……神仙级的享受，没有之一,2018-05-30 00:58:33
扬羽,s-star5,我久闻西泠印社作为杭州三西之一的地位，但到此处我并非朝圣而仅为赏景。但若为心静，此处倒也是一个好去处，摩崖题刻各有风骨，每一处都值得好好玩赏，加之园林雅致，一株紫藤绕树而上，点点紫花落地，却依旧残留几丝芬芳于天际。一处屋舍前种植着两株七角枫叶大树，在春末时节一殷红一嫩绿，并肩而立同映蓝天，彷如春秋同季，颇为有趣。树上又有鸟儿衔枝筑巢，忙得不亦乐乎。再烦躁的心情，能得见此美景心中也会稍减郁闷。,2018-05-14 20:54:55
kuailedexinzi,s-star5,西泠印社是个江南的小园林，但景色一般。,2018-05-14 14:11:28
Golden,s-star4,看篆刻石碑的地方。孤山上没看到多少梅花，这里看到了许多见游记《忆杭州——秀美在江南》http://www.mafengwo.cn/i/6744236.html,2018-05-06 12:41:52
人头马殿下,s-star5,位置：地铁1号线在城站下车，沿着建国南路走到望江路就到了，大概一站地的样子。胡雪岩是杭州人，以前只不过是钱庄的一个小伙计，后在浙江巡抚王又龄的扶持下，开办自己的钱庄。后来协助左宗棠收复新疆等战役立下了功劳，被封为布政使衔。除经营钱庄，兼粮食，房地产，典当，还进出口军火和生丝。此故居修了三年的时间花了300万建成。江南的亭台楼阁展现的淋漓尽致，房屋多用紫檀，红木，金丝楠木分给上等木材，同时房屋还中西合璧。所有的屋子都有玻璃，所有的铜手都是德国进口，他住的房间里还有小喇叭便于呼唤下人。园子大概一个小时就可以逛完因为很多地方都不让参观了。总体感觉房子精致舒适，不像以前的老房子跟人阴森森的感觉。俗话说富不过三代，没想到十年后他的宅子就以10万卖掉了，买家是李鸿章的侄子，他创办的胡庆余堂也被他人接手。红顶商人肯定跟朝廷脱不了干系，因为协助左宗棠收复新疆等立了功劳，后来被李鸿章立为打到左宗棠的第一面旗子，后与洋人争夺丝绸市场，大量囤积丝绸导致丝绸褪色沦为废品。他的晚年穷困潦倒，妻离子散。,2019-03-02 19:47:16
被诈骗后只剩玩,s-star5,这样去玩胡雪岩故居。杭州城站（火车站）乘七路公交至中山路站，或地铁乘一站安定路站，步行四百米至中山路（南宋御街），中山路步行街向西游至故楼，向南过中河路（高架马路）到胡雪岩故居，门票20元。玩后回走中山路，过故楼城墙至河坊街步行街游玩，向吴山方向游玩，河坊街段游玩铜屋，免门票。后百米游览杭州博物馆，出来后向西上到城隍阁，城隍庙游玩门票30元，这样基本游玩时间足足一天。,2019-03-28 22:52:48
言牛,s-star5,胡雪岩故居，位于杭州市河坊街、大井巷历史文化保护区东部的元宝街，建于清同治十一年（1872年），正值胡雪岩事业的颠峰时期。当时豪宅工程历时3年，于1875年竣工。落成的故居是一座富有中国传统建筑特色又颇具西方建筑风格的美轮美奂的宅第，整个建筑南北长东西宽，占地面积10.8亩，建筑面积5815平方米。故居无论是从建筑还是从室内家具的陈设，用料之考究，都堪称清末中国巨商第一豪宅。,2019-01-31 01:34:07
伯爵与少女的酒宴,s-star3,从宋城回来就去了这里，在杭州住了很久，还是第一次来这里。不过毕竟只经历了一代的富贵，宅子的修建无法与数代富贵的乔家大院相比，但是却有着江南豪宅的特点。尤其是花园，下面假山林立，上面空中楼阁，如同在天上一般。对印着的人工湖，湖中鱼儿漂游，到了夏天更是荷花满堂，与众不同啊。建议：来这里游玩，最好请一名导游小姐，因为古代豪宅的讲究很多，而中国又注重风水布局，所以没有导游的介绍，进去游览会感觉乏味的。,2019-01-04 19:09:33
April qiu,s-star3,宅子不错，值得一去。不过讲解很坑，收费说明上有按分钟收费，最高是120元（60分钟），收费人员说只有120元的。进来之后说大概是60分钟，不一定有多长时间，最后只讲解了40分钟。全程态度还挺骄。不是很满意。,2019-05-28 11:08:54
琳丁°,s-star5,名副其实的中国古代第一豪宅，园中高阁、回廊、亭台、水池、假山，一应俱全，又有金丝楠木、紫檀、花梨、南洋杉等铺陈装饰，极尽奢华，富丽堂皇！溶洞堆砌巧妙，亭台楼阁一派江南水乡风情，难怪角角落落里净是些身习古装摆拍的姑娘们。最喜欢西洋式的彩色玻璃窗，除此外还有电话、吊灯等诸多当年的舶来品，再次感叹胡雪岩的骄奢淫靡！门票20/人，此后步行至五柳巷，咱也去什么鬼家骄奢一把可好？,2019-05-08 10:14:11
马蜂窝用户,s-star5,这个故居没有留给他的后人？？？,2019-08-31 09:18:58
南有嘉鱼。,s-star4,值得一去 离南宋御街很近 锦鲤挺多,2019-06-13 10:45:34
在路上,s-star5,票价20，值了，这个故居真是豪宅,2019-05-07 19:53:51
Jackee,s-star3,就是在原址修茸的故居，真正的原物都给破坏了，你懂的。满屋的名贵木雕都没了，据说只留下凤穿牡丹石雕是原物。,2019-05-06 15:46:57
小猪猪侠,s-star4,红顶商人的故居，其实根据史料来说，他也很无奈。,2019-04-04 15:12:53
知秋,s-star5,胡雪岩，红顶商人，去了杭州，一点要去看看！,2019-03-28 20:46:43
bobo,s-star5,这次可能是我第三次来到胡雪岩故居了……这位有传奇色彩的红顶商人那巨大的宅邸位于 杭州 市河坊街、大井巷历史文化保护区东部的元宝街，建于清同治十一年（1872年）胡雪岩事业的颠峰时期，当时豪宅工程历时3年，于1875年竣工。建筑均以银杏木、楠木、酸枝木、紫檀木、南洋杉、 中国 榉木等名贵材料来建造。百狮楼、锁春院、怡夏院、洗秋院、融冬院、延碧堂、载福堂、和乐堂、清雅堂无处不奇；木雕、砖雕、石雕、堆塑、彩画则无品不精。故居内还有董其昌、郑板桥、唐伯虎、文征明等名家的书法石刻作品。这座豪宅的确切造价不详，据说应在50万两 白银 以上（当年单是堆砌芝园内的假山，据说就耗银10多万两），无论是从建筑还是到室内家具的陈设，用料之考究，堪称清末 中国 巨商第一豪宅。,2019-03-14 19:56:14
城上旗下,s-star4,清末传奇红顶商人的故居，值得一去。,2019-02-28 14:58:37
酒后重影,s-star4,作为清朝最著名的商人，其故居的江南特色值得欣赏,2019-02-26 14:08:08
回旋之水,s-star5,大清红顶商人胡雪岩的故居，也是极富江南园林元素。,2019-02-08 02:56:20
pearl,s-star5,这个地方好像不是很热门的景点，但里面的精致奢华让人难以想象。比苏州的园林不遑多让,2019-01-03 19:40:00
菜鸡小万,s-star5,或许这就是豪宅吧，豪宅的布局很有巧思，每次走到书房居高临下看下面的园林就觉得很激动,2018-12-21 23:24:54
pendancer,s-star3,印象最深的是花园的池塘中有几条大鱼，游戏于锦鲤之中,2018-12-14 03:45:08
小康谢,s-star3,胡雪岩是晚清时的首富，故居中西建筑风格巧妙结合，极尽奢华的江南园林，堪称晚清中国巨商第一宅,2018-11-23 09:18:49
马蜂窝用户,s-star3,清朝第一首富，豪宅呀！不过，总是首富，虽小，但五脏俱全！  逛完之后，想起一首诗！千里休书只为墙，让他三尺又何妨，万里长城今犹在，不见当年秦始皇！   世界的一切，从没有那一个人真正拥有过！,2018-11-15 09:26:34
海子,s-star4,精致的苏州园林的典范，值得一看！,2018-11-07 09:33:43
马蜂窝用户,s-star5,真的值得一看，10多亩低的豪宅,2018-11-03 21:28:30
Sasori,s-star5,胡雪岩故居整个建筑布局紧凑，构思精巧，居室与园林交融，建筑材料可媲美皇帝故宫，可谓无材不珍。（摘自百度百科）,2018-11-03 11:15:14
毛毛,s-star5,故居是一座富有中国传统建筑特色又颇具西方建筑风格的美轮美奂的宅第，整个建筑南北长东西宽，占地面积10.8亩，建筑面积5815平方米。,2018-10-21 22:39:26
曹文瀚,s-star4,清朝知名紅頂商人胡雪岩的家，從外頭看不出來裡頭原來還挺大的。並且也相當漂亮，十分講究。,2018-10-15 21:34:09
陈小琼,s-star3,本来很好的一处人文景点，商业运作水平之低令人瞠目结舌,2018-10-14 23:01:47
向日葵,s-star4,值得一游。如果时间合适还有免费导游带着一起参观，非常的棒。,2018-10-07 21:55:39
kevinwei88,s-star4,占地面积那个大啊，入口在一个小巷里；亭台楼阁、小桥流水、假山异石，木雕和石雕都非常精美，很值得一去；曾经在此养了12房姨太啊，如此富有，到头来还是落魄而终，看来在历史潮流下谁都不过是一蝼蚁而已。,2018-09-14 04:39:10
小云云白白胖胖,s-star4,胡雪岩故居是杭州少有收门票的景点，20元一位，现场买只收现金。故居内的指示标记很少，在里面逛得晕头转向。故居的格局同江南园林常见的布局类似，正厅为百狮楼。,2018-09-09 08:38:59
JIanG_,s-star5,富人！！！羡慕！！！就那戏台就够羡慕,2018-09-06 22:34:22
和小派,s-star5,门票20元，园内也没有其他隐形消费，很不错。,2018-08-23 18:27:08
小生活,s-star5,曾经的中国第一豪宅。有胡雪岩一生较详细的介绍，令人唏嘘。物极必反、盛极必衰在他身上得到了应验。人真的不能太狂了。,2018-08-19 16:04:13
双双戏水,s-star5,芝园的主体建筑御风楼是整个故居的最高建筑，楼前是一座仿飞来峰而建的大假山，假山里面是国内现存最大的人工溶洞，冬暖夏凉。与御风楼正对的是一个石栏平台，于平台之上仰望御风楼，端的是气派非常。平台与假山以九曲桥相连，桥上八角重檐亭，桥下碧池锦鲤，步步为景，处处显胜。延碧堂是观赏芝园山水景色的最佳场所，御风楼是整个故居的最高点。,2018-08-04 17:20:18
跟着花花去旅游,s-star4,胡雪岩故居就是河坊街附近，很近的地方。去感受一下富豪的生活，了解他的生平过往，对胡雪岩感兴趣的可以去看看。,2018-07-24 17:05:31
怪老头,s-star5,环境很好，风景很漂亮！很值得一去！,2018-07-23 18:55:33
做最好的自己(*^_,s-star4,门票20，冲着当官要看曾国藩，经商要读胡雪岩这句话去的，还是很不错,2018-07-16 14:58:56
西卡,s-star5,印象深的是他们家宅子的白墙奇高，园子里反而小巧紧凑，有假山有园林，屋子的窗子与门装饰与众不同。,2018-07-12 15:12:19
MASQUERADE,s-star4,杭城的古建筑总感觉缺失了什么，总觉得这些建筑是僵硬的，没有人文气息。但胡雪岩故居在这些古建里算是最有特色的几处之一了。,2018-07-08 18:45:22
dyklhxb,s-star4,还好吧，讲解有些浅显，没有讲出深入的东西。,2018-07-02 21:27:11
名名,s-star5,太漂亮了，超出预期。园子里一呼一吸都偷着rich的气息,2018-07-02 20:14:33
瓶子,s-star3,我才不会告诉你，这个入口在一条小巷里，出口在大马路上~~~,2018-06-20 18:27:04
马蜂窝用户,s-star5,故居外墙高得有气势，大门低调到不如普通民居，宅内又别有洞天，步步有景，处处精致。…现在是淡季，游人有限，但我们喜欢这样的氛围，漫步宅内，慢慢品味前人不一样的生活情境，这才是旅行。,2018-06-06 06:21:15
小楠楠,s-star5,景点很不错，时间富裕的可以去参观一下！,2018-05-29 17:15:43
新蕊,s-star5,随处可见的雕花石刻，隐藏与简朴白色高墙里的精致别院，门票不贵20，学生可半价，值得一看,2018-05-28 08:38:00
潋滟酒,s-star5,红顶商人胡雪岩了解一下～～哈哈 一直很喜欢江南园林的精致婉约，独具匠心。个人感觉胡雪岩故居的大小相比豫园等其他知名园林要稍小一些，但建筑的精致上并不输其他，特别是游览之前或过程中可以配合历史背景大开脑洞，这里一定见证过很多兴衰荣辱，悲欢离合，发生过许多精彩故事。,2018-05-24 16:12:23
kuailedexinzi,s-star5,设计构造很精美巧妙，房子建筑的非常雄伟，而且大户人家的气派。景点人多了点，后花园景色特别好。,2018-05-14 14:11:28
哲理,s-star5,浙江真是人杰地灵的风水宝地，杭州更是卓尔不群的存在，古往今来，如雷贯耳的名人层出不穷，喏，这不，红顶商人胡雪岩，了解一下。之所以被称红顶，那是挂了官衔的，古往今来，想不到还有谁可以身兼官商，而且这位爷还是穿过黄马褂、在紫禁城里骑过马的，真真儿二五八万了一阵子！发家史，无他，战争财嘛。左宗棠打西北战役，他是下了大力气的，赌上身家性命资助朝廷抗敌，这把赌赢了，一下子就发达了，说富甲一方还是说小了，跟富可敌国又差那么一点儿，总之是有钱有势就对了～已有的事后必再有，已行的事后必再行，太阳下面无新事，自古官商勾结都没好下场，胡爷尤其嗝屁的快，连他自己这一代都没能善终。胡雪岩其人褒贬不一，他这宅子可是没人会说不好的，宅邸兼具清代建筑特色与西洋建筑风格，据我辨识，外墙是有融入闽式徽派特色的--白墙黛瓦、马头墙与吊脚飞檐，各种元素糅杂在一起，竟然没有违和感，反而会觉得怪好看的～园内的亭台轩榭自不必说，那必然是极好的，几处明显带有吉祥寓意色彩的细节处理真乃点睛之笔～宅内的建筑材料是故宫“同款”，珍惜木制家具随处可见，更有壁画、提词等粉墙风雅之物，恕我实在看不懂了……传家有道惟存厚，处世无奇但率真。胡雪岩一生的起起落落并不能通过游览故居而感受到，但游览过后总有想要去了解他生平的念想儿，了解越多越不会妄定对与错，能带来有益的思考便不虚此行了～,2018-05-10 21:01:15
Golden,s-star5,胡雪岩故居一直是我想去看的地方。很早就想亲眼看看一代红顶商人住的地方。胡雪岩一生争议颇多。许多人顶礼膜拜，同样有人不齿。是非功过留待历史评说。只有两点感悟。一是他败落的原因应该归结为“天时、地利、人和”尽丧。天时者遇到了满清的腐朽、原本本土经营得天独厚却在上海租界遇上了洋人的倾轧便失地利。全力支持左宗棠得罪了李鸿章，导致左宗棠死后被淮系暗算。失去了人和。另外一点感悟是胡雪岩最终败落，死后留在人世间的除了一生的传奇故事外只剩下一个胡庆余堂。可见做对了慈善事业才能真正的青史留名。世人记住的不是你曾经有多少钱而是你为世人留下了什么。但愿先富起来的亿万富翁们能够力挺中国的慈善事业。百度地图看地址。元宝街是入口，望江路是出口。20元门票。故居离有志愿者讲解。楠木屋、大小花园、百狮楼是亮点。还有一个中空假山可以钻见游记《忆杭州——秀美在江南》http://www.mafengwo.cn/i/6744236.html,2018-05-06 00:31:44
楼♛波,s-star4,本着第一富豪去看看了他的房子，,2018-04-29 23:16:02
吼鲸王萌萌哒,s-star4,说是故居，其实这个景点是典型的江南园林，也是我认为杭州最漂亮的园林（当然很多人可能会说是郭庄哈哈）这个地方有一半是新建的，一半是原来的基础上修了下外表的，因为我翻出了我小时候这地方刚开张的照片，嗯，照片里完全没有的地方，也就是西边居住区最开始是不开放的，那块你看也能看得出来是老货刷了点漆，园林区域就完全是新建了前几年我来这里的时候人是不多的，不像苏州园林和上海豫园这么可怕，交通实在是不便利，不知道现在有没变的热门起来呢,2018-04-25 21:18:10
蚂蜂窝用户,s-star3,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2018-04-17 15:30:52
RDJ,s-star5,很喜欢很喜欢的建筑。大户人家的住宅，但保护完整，杭州整体的景点质素都很高,2018-04-06 06:16:48
诺亚方舟,s-star4,时间有点长，有点记不住了，依稀记得是很有江南的特色的一处大宅子。,2018-03-28 10:39:49
马蜂窝周,s-star4,一个人走了很多地方，最后来到了这里，看这个富甲一方的商人的住所，当时的最高楼，可以看到西湖美景,2018-03-23 16:58:08
